"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"39C","39F","39C",13.4,"Psyr","Psyr","W",0,0,1
"39C","08C","39C",13.7,"Psyr","Psyr","W",0,0,1
"39C","23A","39C",13.6,"Psyr","Psyr","W",0,0,1
"39C","24C","24C",13.7,"Psyr","Psyr","W",0,0,1
"39C","21A","21A",13.3,"Psyr","Psyr","W",0,0,1
"39C","20B","20B",13.3,"Psyr","Psyr","W",0,0,1
"39C","08B","08B",14.2,"Psyr","Psyr","W",0,0,1
"39C","36A","36A",14.8,"Psyr","Pflu","B",0,0,1
"39C","06B","06B",14.8,"Psyr","Pflu","B",0,0,1
"39C","07B","07B",14.8,"Psyr","Pflu","B",0,0,1
"39C","43A","43A",14.8,"Psyr","Pflu","B",0,0,1
"39C","29A","29A",15,"Psyr","Pflu","B",0,0,1
"39C","39A","39A",14.3,"Psyr","Pflu","B",0,0,1
"39C","34A","34A",14.5,"Psyr","Pflu","B",0,0,1
"39C","27A","27A",14.4,"Psyr","Pflu","B",0,0,1
"39C","36B","36B",14.4,"Psyr","Pflu","B",0,0,1
"39C","33E","33E",14.4,"Psyr","Pflu","B",0,0,1
"39C","13A","13A",14.4,"Psyr","Pflu","B",0,0,1
"39C","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"39C","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"39C","46A","46A",14.6,"Psyr","Pflu","B",0,0,1
"16A","14B","RNI",0,"Psyr","Psyr","W",0,1,0
"16A","46B","16A",8.9,"Psyr","Psyr","W",0,0,1
"16A","02A","RNI",8,"Psyr","Psyr","W",0,1,0
"16A","08A","08A",8,"Psyr","Psyr","W",0,0,1
"16A","06C","RNI",8,"Psyr","Psyr","W",0,1,0
"16A","4326","16A",8,"Psyr","Psyr","W",0,0,1
"16A","19A","RNI",8.1,"Psyr","Psyr","W",0,1,0
"16A","07A","07A",9.9,"Psyr","Psyr","W",0,0,1
"16A","22D","RNI",9.9,"Psyr","Psyr","W",0,1,0
"16A","22B","RNI",9.9,"Psyr","Psyr","W",0,1,0
"16A","26B","RI",9.5,"Psyr","Psyr","W",1,0,0
"16A","22C","16A",13.9,"Psyr","Psyr","W",0,0,1
"16A","39F","16A",13.5,"Psyr","Psyr","W",0,0,1
"16A","08C","16A",13.8,"Psyr","Psyr","W",0,0,1
"16A","23A","16A",13.7,"Psyr","Psyr","W",0,0,1
"16A","24C","16A",13.7,"Psyr","Psyr","W",0,0,1
"16A","21A","16A",13.4,"Psyr","Psyr","W",0,0,1
"16A","20B","16A",13.4,"Psyr","Psyr","W",0,0,1
"16A","08B","08B",14.1,"Psyr","Psyr","W",0,0,1
"16A","36A","36A",14.9,"Psyr","Pflu","B",0,0,1
"16A","06B","06B",14.9,"Psyr","Pflu","B",0,0,1
"16A","07B","07B",14.9,"Psyr","Pflu","B",0,0,1
"16A","43A","43A",14.9,"Psyr","Pflu","B",0,0,1
"16A","29A","29A",15,"Psyr","Pflu","B",0,0,1
"16A","39A","39A",14.2,"Psyr","Pflu","B",0,0,1
"16A","34A","34A",14.5,"Psyr","Pflu","B",0,0,1
"16A","27A","27A",14.5,"Psyr","Pflu","B",0,0,1
"16A","36B","36B",14.5,"Psyr","Pflu","B",0,0,1
"16A","33E","33E",14.5,"Psyr","Pflu","B",0,0,1
"16A","13A","13A",14.5,"Psyr","Pflu","B",0,0,1
"16A","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"16A","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"16A","46A","46A",14.7,"Psyr","Pflu","B",0,0,1
"14B","46B","14B",8.9,"Psyr","Psyr","W",0,0,1
"14B","02A","02A",8,"Psyr","Psyr","W",0,0,1
"14B","08A","08A",8,"Psyr","Psyr","W",0,0,1
"14B","06C","06C",8,"Psyr","Psyr","W",0,0,1
"14B","4326","14B",8,"Psyr","Psyr","W",0,0,1
"14B","19A","RNI",8.1,"Psyr","Psyr","W",0,1,0
"14B","07A","07A",9.9,"Psyr","Psyr","W",0,0,1
"14B","22D","22D",9.9,"Psyr","Psyr","W",0,0,1
"14B","22B","RNI",9.9,"Psyr","Psyr","W",0,1,0
"14B","26B","26B",9.5,"Psyr","Psyr","W",0,0,1
"14B","22C","RNI",13.9,"Psyr","Psyr","W",0,1,0
"14B","39F","14B",13.5,"Psyr","Psyr","W",0,0,1
"14B","08C","14B",13.8,"Psyr","Psyr","W",0,0,1
"14B","23A","14B",13.7,"Psyr","Psyr","W",0,0,1
"14B","24C","14B",13.7,"Psyr","Psyr","W",0,0,1
"14B","21A","14B",13.4,"Psyr","Psyr","W",0,0,1
"14B","20B","14B",13.4,"Psyr","Psyr","W",0,0,1
"14B","08B","08B",14.1,"Psyr","Psyr","W",0,0,1
"14B","36A","36A",14.9,"Psyr","Pflu","B",0,0,1
"14B","06B","06B",14.9,"Psyr","Pflu","B",0,0,1
"14B","07B","07B",14.9,"Psyr","Pflu","B",0,0,1
"14B","43A","43A",14.9,"Psyr","Pflu","B",0,0,1
"14B","29A","29A",15,"Psyr","Pflu","B",0,0,1
"14B","39A","39A",14.2,"Psyr","Pflu","B",0,0,1
"14B","34A","34A",14.5,"Psyr","Pflu","B",0,0,1
"14B","27A","27A",14.5,"Psyr","Pflu","B",0,0,1
"14B","36B","36B",14.5,"Psyr","Pflu","B",0,0,1
"14B","33E","33E",14.5,"Psyr","Pflu","B",0,0,1
