	i	j	outcome	dist	i.clade	j.clade	WB	RI	RNI	ASYM
336	02A	06A	06A	85.5	Psyr	Pflu	B	0	0	1
337	02A	46A	46A	85.2	Psyr	Pflu	B	0	0	1
338	08A	06C	08A	100	Psyr	Psyr	W	0	0	1
339	08A	4326	08A	100	Psyr	Psyr	W	0	0	1
340	08A	19A	08A	99.5	Psyr	Psyr	W	0	0	1
341	08A	07A	07A	89.7	Psyr	Psyr	W	0	0	1
342	08A	22D	RI	89.7	Psyr	Psyr	W	1	0	0
343	08A	22B	08A	89.7	Psyr	Psyr	W	0	0	1
344	08A	26B	08A	89.7	Psyr	Psyr	W	0	0	1
345	08A	22C	RI	86.4	Psyr	Psyr	W	1	0	0
346	08A	39F	08A	85.9	Psyr	Psyr	W	0	0	1
347	08A	08C	08A	86.2	Psyr	Psyr	W	0	0	1
348	08A	23A	08A	86.4	Psyr	Psyr	W	0	0	1
349	08A	24C	RI	87.4	Psyr	Psyr	W	1	0	0
350	08A	21A	RI	86.7	Psyr	Psyr	W	1	0	0
351	08A	20B	08A	86.7	Psyr	Psyr	W	0	0	1
352	08A	08B	08B	84.6	Psyr	Psyr	W	0	0	1
353	08A	36A	RI	85	Psyr	Pflu	B	1	0	0
354	08A	06B	RI	85	Psyr	Pflu	B	1	0	0
355	08A	07B	07B	85	Psyr	Pflu	B	0	0	1
356	08A	43A	43A	85	Psyr	Pflu	B	0	0	1
357	08A	29A	RI	84.9	Psyr	Pflu	B	1	0	0
358	08A	39A	39A	85.7	Psyr	Pflu	B	0	0	1
359	08A	34A	34A	85.1	Psyr	Pflu	B	0	0	1
360	08A	27A	27A	85.6	Psyr	Pflu	B	0	0	1
361	08A	36B	RI	85.6	Psyr	Pflu	B	1	0	0
362	08A	33E	RI	85.6	Psyr	Pflu	B	1	0	0
363	08A	13A	13A	85.6	Psyr	Pflu	B	0	0	1
364	08A	03A	03A	85.5	Psyr	Pflu	B	0	0	1
365	08A	06A	RI	85.5	Psyr	Pflu	B	1	0	0
366	08A	46A	RI	85.2	Psyr	Pflu	B	1	0	0
367	06C	4326	06C	100	Psyr	Psyr	W	0	0	1
368	06C	19A	06C	99.5	Psyr	Psyr	W	0	0	1
369	06C	07A	RNI	89.7	Psyr	Psyr	W	0	1	0
370	06C	22D	RI	89.7	Psyr	Psyr	W	1	0	0
371	06C	22B	06C	89.7	Psyr	Psyr	W	0	0	1
372	06C	26B	06C	89.7	Psyr	Psyr	W	0	0	1
373	06C	22C	06C	86.4	Psyr	Psyr	W	0	0	1
374	06C	39F	06C	85.9	Psyr	Psyr	W	0	0	1
375	06C	08C	06C	86.2	Psyr	Psyr	W	0	0	1
376	06C	23A	06C	86.4	Psyr	Psyr	W	0	0	1
377	06C	24C	06C	87.4	Psyr	Psyr	W	0	0	1
378	06C	21A	RI	86.7	Psyr	Psyr	W	1	0	0
379	06C	20B	06C	86.7	Psyr	Psyr	W	0	0	1
380	06C	08B	08B	84.6	Psyr	Psyr	W	0	0	1
381	06C	36A	RI	85	Psyr	Pflu	B	1	0	0
382	06C	06B	RI	85	Psyr	Pflu	B	1	0	0
383	06C	07B	07B	85	Psyr	Pflu	B	0	0	1
384	06C	43A	43A	85	Psyr	Pflu	B	0	0	1
385	06C	29A	RI	84.9	Psyr	Pflu	B	1	0	0
386	06C	39A	39A	85.7	Psyr	Pflu	B	0	0	1
387	06C	34A	34A	85.1	Psyr	Pflu	B	0	0	1
388	06C	27A	27A	85.6	Psyr	Pflu	B	0	0	1
389	06C	36B	RI	85.6	Psyr	Pflu	B	1	0	0
390	06C	33E	33E	85.6	Psyr	Pflu	B	0	0	1
391	06C	13A	13A	85.6	Psyr	Pflu	B	0	0	1
392	06C	03A	03A	85.5	Psyr	Pflu	B	0	0	1
393	06C	06A	06A	85.5	Psyr	Pflu	B	0	0	1
394	06C	46A	RI	85.2	Psyr	Pflu	B	1	0	0
395	4326	19A	RI	99.5	Psyr	Psyr	W	1	0	0
396	4326	07A	07A	89.7	Psyr	Psyr	W	0	0	1
397	4326	22D	RI	89.7	Psyr	Psyr	W	1	0	0
398	4326	22B	RI	89.7	Psyr	Psyr	W	1	0	0
399	4326	26B	RI	89.7	Psyr	Psyr	W	1	0	0
400	4326	22C	RI	86.4	Psyr	Psyr	W	1	0	0
401	4326	39F	RI	85.9	Psyr	Psyr	W	1	0	0
402	4326	08C	RI	86.2	Psyr	Psyr	W	1	0	0
403	4326	23A	RI	86.4	Psyr	Psyr	W	1	0	0
404	4326	24C	RI	87.4	Psyr	Psyr	W	1	0	0
405	4326	21A	RI	86.7	Psyr	Psyr	W	1	0	0
406	4326	20B	RI	86.7	Psyr	Psyr	W	1	0	0
407	4326	08B	08B	84.6	Psyr	Psyr	W	0	0	1
408	4326	36A	RI	85	Psyr	Pflu	B	1	0	0
409	4326	06B	RI	85	Psyr	Pflu	B	1	0	0
410	4326	07B	07B	85	Psyr	Pflu	B	0	0	1
411	4326	43A	43A	85	Psyr	Pflu	B	0	0	1
412	4326	29A	29A	84.9	Psyr	Pflu	B	0	0	1
413	4326	39A	39A	85.7	Psyr	Pflu	B	0	0	1
414	4326	34A	34A	85.1	Psyr	Pflu	B	0	0	1
415	4326	27A	27A	85.6	Psyr	Pflu	B	0	0	1
416	4326	36B	RI	85.6	Psyr	Pflu	B	1	0	0
417	4326	33E	33E	85.6	Psyr	Pflu	B	0	0	1
418	4326	13A	13A	85.6	Psyr	Pflu	B	0	0	1
419	4326	03A	03A	85.5	Psyr	Pflu	B	0	0	1
420	4326	06A	06A	85.5	Psyr	Pflu	B	0	0	1
421	4326	46A	RI	85.2	Psyr	Pflu	B	1	0	0
